"Source:","C:\Users\Public\Downloads\Arduino\PubInv\MoonRat\moonrat_atForrestErickson\heaterboard_1\heaterboard_1.kicad_sch"
"Date:","5/26/2025 4:47:52 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","14"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AssemblyType","Cost","Description","Distributor 1","Distributor 1 PN","MPN","Manufacturer","Sim.Enable"
"1","1","C1","0.1uF","Device:C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","0.0024","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","JLCPCB","C14663","CC0603KRX7R9BB104","YAGEO",""
"2","1","J7","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","GeneralPurposeAlarmDevicePCB:GeneralPurposeAlarmDevicePCB_282834-3_1x03_P2.54mm_Horizontal","~","","","0.35","","JLCPCB","C557686","XY308-2.54-3P","Ningbo Xinlaiya Elec.",""
"3","1","J9","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","GeneralPurposeAlarmDevicePCB:GeneralPurposeAlarmDevicePCB_282834-6_1x02_p254mm_Horizontal","https://jlcpcb.com/partdetail/Cixi_KefaElec-KF128_2_546P/C474924","","HAND","0.4614","1x6P -40℃~+105℃ 8A 130V Green 18~26 Straight 2.54mm 1 1 6 Plugin,P=2.54mm Screw terminal ROHS","JLCPCB","C474924","KF128-2.54-6P","Cixi Kefa Elec",""
"4","1","J10","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","C5665.pdf","","HAND","0.0655","2.54mm Straight 2x5P 5 Push - Pull 2.54mm 2 Plugin,P=2.54mm IDC Connectors ROHS","JLCPCB","C5665","C5665","BOOMELE(Boom Precision Elec)",""
"5","2","J11, J12","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","GeneralPurposeAlarmDevicePCB:GeneralPurposeAlarmDevicePCB_282834-2_1x02_P2.54mm_Horizontal","XY308-2.54-2P.pdf","","HAND","0.1537","1x2P 6A 150V Green 18~26 Straight 2.54mm 1 1 2 Plugin,P=2.54mm Screw terminal ROHS","JLCPCB","C557685","XY308-2.54-2P","Ningbo Xinlaiya Elec.",""
"6","2","R2, R5","Heating Pad - 5x10cm","Device:Heater","","https://www.sparkfun.com/products/11288","","OTHER","4.75","Heating Pad - 5x10cm","Sparkfun","COM-11288","NA","NA",""
"7","1","R7","4K7","Device:R_US","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder"," https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588894533715169280","","SMT","0.0035","100mW ±1% 4.7kΩ 0603 Chip Resistor - Surface Mount ROHS","JLCPCB","C269713","RMC06034K7FN","TyoHM",""
"8","1","TP1","+5P","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~","","HAND","0.2018","Test Points/Test Rings ROHS green","JLCPCB","C7589090","RH-5121","ronghe",""
"9","1","TP2","TP_GND","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~","","HAND","0.2018","Test Points/Test Rings ROHS green","JLCPCB","C7589090","RH-5121","ronghe",""
"10","1","TP3","TempOut_IB","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~","","HAND","0.2018","Test Points/Test Rings ROHS green","JLCPCB","C7589090","RH-5121","ronghe",""
"11","1","TP4","HeaterDrive_IB","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~","","HAND","0.2018","Test Points/Test Rings ROHS green","JLCPCB","C7589090","RH-5121","ronghe",""
"12","1","TP5","VCCQ","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~","","HAND","0.2018","Test Points/Test Rings ROHS green","JLCPCB","C7589090","RH-5121","ronghe",""
