Designator,Mid X,Mid Y,Layer,Rotation
A1,88.225,-141.33,bottom,0
BZ1,75,-137,top,0
C1,149.273,-136.919714,top,-90
D1,144.4,-121.53,top,-90
F1,66.840707,-90.964293,top,90
J1,54.65,-102.8,top,0
J2,91,-115,top,0
J5,125.46,-118.6,top,0
J6,127,-110.45,top,90
J9,151.25,-98.25,top,180
J10,151.25,-107.125,top,-90
J11,152.5,-123.099714,top,90
Q1,110.55,-138.329714,top,0
Q2,87.2975,-133.35,top,180
R1,124.05,-136.079714,top,0
R2,103.3,-90.079714,top,180
R3,112.6725,-101.6,top,180
R4,69.4,-129.6,top,180
R5,69.2,-113.4,top,180
R6,70.787,-90.945714,top,180
R7,142.4,-136.929714,top,90
R9,108.9625,-90.079714,top,180
R10,74.9545,-92.850714,top,0
SW1,67,-110,top,90
SW2,109.5,-112.75,top,0
SW3,67,-126.5,top,90
TP1,112.749993,-105.250005,top,0
TP2,153,-146,top,0
U1,146.1,-136.929714,top,-90
